DATE,VALUE
1920-01-01,0.16
1920-04-01,23.08
1920-07-01,1.16
1920-10-01,0.87
1921-01-01,34.55
1921-04-01,19.74
1921-07-01,21.94
1921-10-01,34.32
1922-01-01,5.85
1922-04-01,36.79
1922-07-01,22.66
1922-10-01,28.40
1923-01-01,3.94
1923-04-01,9.32
1923-07-01,0.00
1923-10-01,21.88
1924-01-01,0.71
1924-04-01,4.61
1924-07-01,6.66
1924-10-01,34.90
1925-01-01,48.33
1925-04-01,19.32
1925-07-01,32.06
1925-10-01,39.09
1926-01-01,42.76
1926-04-01,65.01
1926-07-01,65.53
1926-10-01,64.97
1927-01-01,38.15
1927-04-01,29.70
1927-07-01,43.74
1927-10-01,73.77
1928-01-01,66.28
1928-04-01,57.16
1928-07-01,96.41
1928-10-01,46.68
1929-01-01,80.89
1929-04-01,26.01
1929-07-01,95.79
1929-10-01,5.02
1930-01-01,49.17
1930-04-01,55.91
1930-07-01,22.47
1930-10-01,0.00
